robbery Gringotts Bank vault Hagrid retrieved item school,have,headmaster
newspaper report,attempt,robbery Gringotts Bank vault Hagrid item school 's headmaster
philosopher,'s stone be,grants user immortality ability turn metal pure gold
newspaper report,attempt,robbery Gringotts Bank vault Hagrid item school 's headmaster beneath trapdoor
newspaper report,attempt,robbery Gringotts Bank vault Hagrid retrieved item school 's headmaster
philosopher,have,stone
robbery Gringotts Bank vault Hagrid retrieved item school,have,headmaster beneath trapdoor
newspaper report,attempt,robbery Gringotts Bank vault Hagrid retrieved item school 's headmaster beneath trapdoor
newspaper report attempted,be,philosopher 's stone
forest centaur,be plot,restore
forest centaur,restore,Harry body
Firenze,warns,Harry Voldemort
Dumbledore,be,lured
Dumbledore,be lure,Hogwarts false pretences
Ron Hermione,remain behind,Harry proceeds
Harry,encounters,Professor Quirrell
Harry jinxed Harry,have,broom
Harry,encounters,Defence Dark Arts teacher
Harry jinxed Harry 's broom,troll,school
Snape,be protect,Harry
Quirrell,obtain,philosopher 's stone
face,be attach,back Quirrell 's head
philosopher,have,stone
face,be attach,Quirrell 's head
face,be,attached
Harry,be,forced
lack greed stone deposits philosopher,have,stone Harry pocket
Harry,have,lack greed stone deposits philosopher
Mirror Erised,recognises,Harry 's lack greed stone deposits philosopher 's stone Harry pocket
stone,kill,Harry
stone,kill,Quirrell flesh
Harry 's scar,begins,hurting
Harry,have,scar
Harry,awakens,school 's infirmary
school,have,infirmary
mother life Dumbledore,left,protective charm
mother life Dumbledore,left,charm
Voldemort Dumbledore mother,left,magical charm
mother life Dumbledore,left,magical charm
Voldemort Dumbledore mother,left,charm
mother life Dumbledore,left,magical protective charm
Voldemort Dumbledore mother,left,magical protective charm
Voldemort Dumbledore mother,left,protective charm
Quirrell,have,hatred greed
Dumbledore,burn upon,contact Harry
philosopher,have,stone
school,have,year end feast
Gryffindor,be award,House Cup
Gryffindor,be,awarded
Harry,returns at_time,next school year
Harry,returns at_time,school year
Harry,returns Dursleys Privet Drive at_time,school year
Harry,returns Dursleys Privet Drive at_time,next school year
twelve year old Harry,warns,Harry
twelve year old Harry warns,be,danger
year old Harry,warns,Harry
year old Harry warns,be,danger
Aunt Petunia Uncle Vernon,have,dinner party
Dobby,magically ruins,Aunt Petunia Uncle Vernon 's dinner party
Dobby,ruins,Aunt Petunia Uncle Vernon 's dinner party
Uncle Vernon,locks,Harry Uncle Vernon room retaliation
furious Uncle Vernon,locks,Harry furious Uncle Vernon room retaliation
Uncle Vernon,locks,Harry furious Uncle Vernon room retaliation
furious Uncle Vernon,locks,Harry Uncle Vernon room retaliation
Harry,perform,magic threatening
Ministry Magic,immediately sends,notice
Ministry Magic,sends,notice accusing
Ministry Magic,immediately sends,notice accusing
Harry,perform,underage magic threatening
Ministry Magic,sends,notice
Harry,perform,underage magic
Harry,perform,magic
Ron Weasley Ron Weasley brothers,arrive,Fred George father flying
Fred George father,fly,Ford Anglia rescue Harry
Ron Weasley Ron Weasley brothers,arrive,Ron Weasley brothers
Fred George father,fly,Ford Anglia rescue Harry taking
Ron Weasley Ron Weasley brothers,arrive,Fred George father
autobiographer adventurer,be,new Defence Dark Arts professor
Hermione Granger,meet,also Gilderoy Lockhart
conceited autobiographer adventurer,be,new Defence Dark Arts professor
father Harry,have,nemesis Draco
Hermione Granger,meet,father Harry 's nemesis Draco
Hermione Granger,meet,Gilderoy Lockhart
autobiographer adventurer,be,Defence Dark Arts professor
conceited autobiographer adventurer,be,Defence Dark Arts professor
Hermione Granger,meet,Lucius Malfoy
Platform 9 3/4,enter miss,Hogwarts Express
King 's Cross station,be,unable
King,have,Cross station
